Distortion,Example
All-or-Nothing Thinking,"If I don't stick to my budget perfectly, I'll end up broke."
All-or-Nothing Thinking,"I didn't respond to that text fast enough, so now they probably think I'm rude."
All-or-Nothing Thinking,"I gained a pound this week, so all my progress on health has been completely erased."
All-or-Nothing Thinking,"If my creative project isn't groundbreaking, then it's not worth pursuing."
All-or-Nothing Thinking,"I tripped over nothing, so I'm just a clumsy disaster all the time."
All-or-Nothing Thinking,"They didn't remember my birthday, which means they don't value me at all."
All-or-Nothing Thinking,"If I can't solve this problem by myself, then I'm completely useless."
All-or-Nothing Thinking,"I made a typo in that email, so I must look completely unprofessional."
All-or-Nothing Thinking,"This one task is challenging, so I'm never going to finish my project on time."
All-or-Nothing Thinking,"My hair didn't look perfect today, so I felt awful about my appearance all day."
All-or-Nothing Thinking,"If I don't say the absolute perfect thing, then I'll definitely say the wrong thing."
All-or-Nothing Thinking,"I woke up feeling tired, so my whole day is going to be unproductive and terrible."
All-or-Nothing Thinking,"Since I failed to convince them once, I'll never be able to persuade anyone."
All-or-Nothing Thinking,"I didn't follow the recipe exactly, so the entire dish is ruined and inedible."
All-or-Nothing Thinking,"If I'm not happy all the time, then I'm clearly struggling with my mental state."
All-or-Nothing Thinking,"I forgot to lock the door once, so I'm completely irresponsible and unreliable."
All-or-Nothing Thinking,This small setback means I'll never achieve my bigger goals.
Overgeneralization,I messed up that presentation today. I always screw up important things like this.
Overgeneralization,Got a C on that quiz. I'm just terrible at math; I'll never understand it.
Overgeneralization,He didn't text me back. Nobody ever really cares about what I have to say.
Overgeneralization,"I forgot my keys again. I'm so scatterbrained, I can never keep track of anything."
Overgeneralization,Skipped the gym this morning. I'll never get in shape; I always give up.
Overgeneralization,My joke fell flat at the party. I can never say the right thing; everyone always finds me boring.
Overgeneralization,The manager gave me some constructive criticism. I'm always making mistakes at work.
Overgeneralization,"I bombed that job interview. I'll never find a decent job, I'm clearly not good enough."
Overgeneralization,"My sister and I had a fight. We always end up arguing, we just can't get along."
Overgeneralization,I burned dinner tonight. I'm a horrible cook; I always ruin everything in the kitchen.
Overgeneralization,I missed my bus. This always happens to me; I can never get anywhere on time.
Overgeneralization,That guy was rude to me in traffic. Everyone on the road is always so aggressive.
Overgeneralization,My phone died right when I needed it. Nothing ever goes right for me.
Overgeneralization,I got rejected from that program. I'll never get into a good school; my applications are always turned down.
Overgeneralization,I spilled coffee on my shirt. My day is ruined; everything always goes wrong from the start.
Overgeneralization,"I felt awkward in that social situation. I always feel out of place, I'll never fit in."
Overgeneralization,My friend didn't invite me out. I guess no one ever really wants me around.
Overgeneralization,I had a headache all day. I always feel unwell; my body is constantly failing me.
Overgeneralization,I didn't finish reading that book. I never finish anything I start.
Overgeneralization,I didn't get the promotion. I always get overlooked for opportunities.
Overgeneralization,I couldn't solve that problem. I'm completely useless; I can never figure anything out.
Overgeneralization,I spent too much money again. I'm always irresponsible with my finances.
Overgeneralization,"My presentation slides had a typo. I always miss little details like that, I'm so careless."
Overgeneralization,I tried a new hobby and wasn't good at it. I'm terrible at everything new I try; I'll never be skilled.
Overgeneralization,My cat scratched me. All animals are just mean to me.
Overgeneralization,I forgot my lunch at home. This always happens; I can never remember everything I need.
Overgeneralization,I felt tired after my workout. I'll never get stronger; I'm always so weak.
Overgeneralization,"Nobody laughed at my joke during dinner. I can never make people laugh, I'm just not funny."
Overgeneralization,"I had a disagreement with my partner. We always have these same arguments, nothing ever changes."
Overgeneralization,I got a bad review on one item I sold online. I'm a terrible seller; all my customers must hate my products.
Overgeneralization,"I struggled with that complex task. I'm always overwhelmed by big projects, I can never manage them."
Overgeneralization,I felt a bit sick today. I always get sick right before important events.
Overgeneralization,I messed up the recipe. I'm completely incapable of following directions; I always mess up cooking.
Overgeneralization,"My idea was shot down in the meeting. My ideas are always bad, no one ever listens to me."
Overgeneralization,I had a misunderstanding with a colleague. I always have trouble communicating with people.
Overgeneralization,"I didn't get enough sleep last night. I'm always tired, I'll never feel rested."
Overgeneralization,I lost my wallet. I'm always losing things; I can never keep track of my belongings.
Overgeneralization,My plants are dying. I kill everything I try to take care of; I'll never be good at gardening.
Overgeneralization,I felt anxious walking into the room. I always feel like everyone is judging me.
Overgeneralization,I had a minor car issue. My car is always having problems; it's a never-ending money pit.
Overgeneralization,I got a low score on my practice test. I'm going to fail the real exam; I'm never prepared enough.
Overgeneralization,My friend cancelled our plans last minute. No one ever follows through on plans with me.
Overgeneralization,I ate an unhealthy snack. My diet is ruined; I always give in to temptation.
Overgeneralization,I stumbled over my words during a conversation. I'm always awkward when I talk to new people.
Overgeneralization,I made a typo in an email. I always make careless mistakes like that.
Overgeneralization,I felt lonely tonight. I'll always be alone; I never connect with anyone deeply.
Overgeneralization,I didn't achieve my goal for the week. I always fall short; I'm incapable of reaching my targets.
Overgeneralization,"I received a complaint from a customer. I'm always disappointing people, I can't do anything right."
Overgeneralization,I had a bad day at work. Every single day at this job is miserable; I'll never be happy here.
Overgeneralization,I missed a deadline for a personal project. I always procrastinate and fail to finish what I start.
Mental Filter,"My presentation went well, but I totally tripped over that one word at the end. That's all anyone will remember."
Mental Filter,"I got a decent grade on the essay, but the teacher circled one awkward sentence. It just proves I'm not a good writer."
Mental Filter,"My partner said I looked great, but then sighed about the dishes. Guess they're still annoyed with me after all."
Mental Filter,"I spent hours on that report, and my boss only mentioned the typo on page three. It's like the rest didn't even matter."
Mental Filter,"Everyone complimented dinner, but I burnt one edge of the pie. It completely ruined the whole dessert for me."
Mental Filter,"My friend said I'm a good listener, but I totally forgot to ask about her specific meeting. I'm a terrible friend."
Mental Filter,"I had a decent workout, but my form was a bit off on that last set of squats. What's the point?"
Mental Filter,"My manager gave me glowing feedback, yet the small note about needing to be more proactive just stuck with me."
Mental Filter,"The party was mostly fun, but that awkward silence when I told that one joke? That's all I can think about."
Mental Filter,"I made some progress on my project today, but I still haven't tackled that one really difficult part. It feels like I did nothing."
Mental Filter,"My professor said I'm improving, but he also mentioned my attendance was a bit spotty this month. That's the real truth."
Mental Filter,"I mostly stuck to my healthy eating plan, but I caved and had that small piece of chocolate. The whole day is ruined now."
Mental Filter,"Had a great conversation with my mom, but she made one comment about my messy apartment. That's all that stuck with me."
Mental Filter,"Got a new client, but they had one question I couldn't immediately answer. I'm clearly out of my depth."
Mental Filter,"My painting turned out mostly okay, but that one brushstroke isn't perfect. It's all I can see."
Mental Filter,"I was so happy about finishing that run, but then I looked at my time and it was a bit slower than last week. Useless."
Mental Filter,"My team celebrated our success, but I kept thinking about that one minor detail we almost missed. It could have been disastrous."
Mental Filter,Had a good day until I saw that one negative comment on my social media post. Now I feel terrible.
Mental Filter,"I finally cleaned the house, but missed one small corner in the bathroom. It feels like the whole effort was wasted."
Mental Filter,"My doctor said my blood work was good, but then mentioned one tiny marker was slightly elevated. I'm probably dying."
Mental Filter,"I helped a friend move, but I couldn't lift that one heavy box. I'm so weak and unhelpful."
Mental Filter,"The new app is great, but that one bug makes it completely unusable for me."
Mental Filter,"I got a raise, but I'm still not earning what that one other person is. It's not enough."
Mental Filter,"My kids were so sweet today, but they fought over one toy for five minutes. The whole day was chaos."
Mental Filter,"I made eye contact with a lot of people today, but that one person who looked away immediately? They must hate me."
Mental Filter,I read through my journal from last year and all I could focus on were the things I *didn't* achieve.
Mental Filter,"Had a mostly productive morning, but spent 10 minutes procrastinating on one email. What a waste."
Mental Filter,"My creative writing felt inspired, but then I read it back and found one cliché. Now the whole piece feels unoriginal."
Mental Filter,"Someone complimented my outfit, but my shoes are old. They probably just felt sorry for me."
Mental Filter,"I remembered to pay all my bills on time, but I forgot to renew my library book. I'm so disorganized."
Mental Filter,"The meal was delicious, but the restaurant forgot one small side order. It ruined the experience."
Mental Filter,"I managed to stay calm in a stressful situation, but I felt my heart race for a second. I'm still not good at managing my anxiety."
Mental Filter,"My significant other said they loved the gift, but then mentioned they already had something similar. I'm so bad at gifts."
Mental Filter,"I got approved for the loan, but the interest rate was a tiny bit higher than I hoped. It's going to be a struggle."
Mental Filter,"The weather was beautiful all day, but that one brief shower in the afternoon just made everything feel damp and grey."
Mental Filter,"I wrote a detailed email, but then noticed one small grammatical error after sending it. I look so unprofessional."
Mental Filter,"My dog was so well-behaved on the walk, except for that one squirrel chase. He never listens."
Mental Filter,"I got a lot of positive comments on my presentation, but that one person who looked bored the whole time is all I can see."
Mental Filter,"My friend remembered my birthday, but they got the specific flavor of cake wrong. It feels like they don't really know me."
Mental Filter,"I cleaned out my closet, but there's still that one pile of clothes I haven't gotten to. My house is still a mess."
Mental Filter,"I finally called that person I'd been meaning to, but they didn't pick up right away. Now I'm just more anxious."
Mental Filter,"My new hobby is fun, but I'm not as good as the more experienced people in the group. I'm clearly not cut out for this."
Mental Filter,"I got some good sleep, but then I dreamt about that one work problem. I'm never truly rested."
Mental Filter,"My car is running great, but that one little rattle noise is driving me crazy. It must be about to break down."
Mental Filter,"I made a new connection at that networking event, but I fumbled my words introducing myself to one other person. I blew it."
Mental Filter,"Had a lovely weekend, but Sunday evening anxiety about Monday always ruins the whole thing."
Mental Filter,"I remembered my colleague's birthday, but forgot to sign the card until the last minute. I'm so thoughtless."
Mental Filter,"The show was amazing, but the person next to me kept crinkling their candy wrapper. It completely ruined my immersion."
Mental Filter,"I helped my neighbor with their garden, but I accidentally pulled out one small weed they wanted to keep. I'm so clumsy."
Mental Filter,"My hair looked pretty good today, but that one flyaway piece on top just made me feel self-conscious all day."
Disqualifying the Positive,"My boss said I did a great job on the presentation, but he probably just says that to everyone."
Disqualifying the Positive,"Got an A on the test, but it was just an easy test anyway."
Disqualifying the Positive,"My friend complimented my new outfit, but she's just being nice because she knows I've been down."
Disqualifying the Positive,"I managed to stick to my workout routine for a week, but it's not like I'm seeing any real progress yet."
Disqualifying the Positive,"Someone liked my social media post, but it's probably just a pity like."
Disqualifying the Positive,"Finished that difficult report, but it took me way longer than it should have."
Disqualifying the Positive,"A stranger smiled at me today, but they were probably just looking past me."
Disqualifying the Positive,"My partner said they appreciate me, but they just had a good day, so it doesn't really count."
Disqualifying the Positive,"I ate a healthy meal today, but I'll probably just ruin it with snacks later."
Disqualifying the Positive,"I got a promotion, but it was just because someone else left, not because I truly earned it."
Disqualifying the Positive,"My professor praised my essay, but he probably didn't read it very closely."
Disqualifying the Positive,"Had a good conversation with a new acquaintance, but I bet they'll forget all about me by tomorrow."
Disqualifying the Positive,"I finally cleaned out my closet, but it's still not as organized as it should be."
Disqualifying the Positive,"My family said my cooking was delicious, but they have to say that, they're family."
Disqualifying the Positive,"I finished that difficult puzzle, but it was more luck than actual skill."
Disqualifying the Positive,"I felt happy for a little while today, but it won't last."
Disqualifying the Positive,"Someone offered to help me, but I really should be able to handle it myself."
Disqualifying the Positive,"I got through that tough meeting, but I barely contributed anything useful."
Disqualifying the Positive,"My friends invited me out, but they probably just felt obligated to include me."
Disqualifying the Positive,"I managed to wake up early, but then I just wasted the extra time anyway."
Disqualifying the Positive,"I successfully fixed that minor issue on my computer, but it was just a simple bug."
Disqualifying the Positive,"My therapist said I'm making progress, but she's paid to say encouraging things."
Disqualifying the Positive,"I ran a bit further today, but my pace was still terrible."
Disqualifying the Positive,"Someone complimented my hair, but it's probably just a good hair day, not a reflection of me."
Disqualifying the Positive,"I got a positive review at work, but they focused on the small things, not the big picture where I struggle."
Disqualifying the Positive,"I finally learned that new skill, but it's not very impressive when you think about it."
Disqualifying the Positive,"My cat cuddled with me, but she probably just wanted food."
Disqualifying the Positive,"I did well on that presentation, but I was so nervous, it probably showed."
Disqualifying the Positive,"My friend remembered my birthday, but everyone remembers birthdays."
Disqualifying the Positive,"I got a nice email from a client, but it's just part of their customer service policy."
Disqualifying the Positive,"I managed to meditate for ten minutes, but my mind was still racing the whole time."
Disqualifying the Positive,"I made someone laugh today, but it was probably just a silly joke, not actual wit."
Disqualifying the Positive,"My significant other said I look good, but they have to say that, right?"
Disqualifying the Positive,"I finished all my errands, but it took me way longer than planned."
Disqualifying the Positive,"The sun came out today, but I still felt miserable."
Disqualifying the Positive,"I received an award at work, but it was just for participation, nothing truly outstanding."
Disqualifying the Positive,"My art teacher praised my drawing, but she just says that to encourage everyone."
Disqualifying the Positive,"I got a scholarship, but it was probably because not many people applied."
Disqualifying the Positive,"My friend said I was a good listener, but I was probably just zoned out half the time."
Disqualifying the Positive,"I managed to save some money this month, but it's not nearly enough to make a difference."
Disqualifying the Positive,"I finally called that difficult person, but the conversation didn't really resolve anything."
Disqualifying the Positive,"Someone offered me a ride, but it was just because they were going that way anyway."
Disqualifying the Positive,"I got a good night's sleep, but I'll probably be exhausted again tomorrow."
Disqualifying the Positive,"My project was chosen, but it was probably just because the others were worse."
Disqualifying the Positive,"I successfully baked that difficult recipe, but it wasn't perfectly plated."
Disqualifying the Positive,"My coworker thanked me for my help, but I didn't do anything special."
Disqualifying the Positive,"I managed to stick to my budget today, but it's only one day."
Disqualifying the Positive,"My parents told me they were proud, but they have to be, I'm their child."
Disqualifying the Positive,"I received positive feedback on my essay, but there was still a small grammatical error they pointed out."
Disqualifying the Positive,"I felt pretty good this morning, but I'm sure it's just a temporary fluke."
Jumping to Conclusions,My boss didn't say good morning back; she must be unhappy with my work on the report.
Jumping to Conclusions,"I know I'm going to fail this exam, there's no way I studied enough even though I spent all week on it."
Jumping to Conclusions,"He hasn't texted me back in an hour, he probably doesn't like me anymore."
Jumping to Conclusions,I totally messed up that presentation; everyone thinks I'm incompetent now.
Jumping to Conclusions,"There's no point in applying for that job, I won't get it anyway."
Jumping to Conclusions,"My friend didn't invite me out tonight, she must think I'm boring."
Jumping to Conclusions,I felt a twinge in my knee; it's definitely something serious and I'll need surgery.
Jumping to Conclusions,"I know what my parents are going to say, they'll just disapprove like always."
Jumping to Conclusions,"This new project is going to be a disaster, I can just feel it."
Jumping to Conclusions,That person looked at me funny; they must be judging my outfit.
Jumping to Conclusions,"I got a 'B' on that assignment, so I'm clearly not smart enough for this course."
Jumping to Conclusions,They're all laughing over there; they're definitely laughing at me.
Jumping to Conclusions,"I'm going to embarrass myself if I try to speak in public, I just know it."
Jumping to Conclusions,"She sighed when I suggested my idea, so she obviously hates it."
Jumping to Conclusions,"This cough is probably the start of something terrible, I'm going to be really sick."
Jumping to Conclusions,I shouldn't even try to start that new hobby; I'll just be bad at it.
Jumping to Conclusions,My partner is quiet tonight; they must be upset with something I did.
Jumping to Conclusions,"There's no way I'll ever get promoted, I'm stuck here forever."
Jumping to Conclusions,"The professor didn't make eye contact, so she probably thinks I'm slacking off."
Jumping to Conclusions,I burnt the dinner a little; everyone will think I'm a terrible cook.
Jumping to Conclusions,"I'm going to completely bomb this interview, I'm not prepared enough."
Jumping to Conclusions,"My sibling didn't respond to my text right away, they're probably mad at me."
Jumping to Conclusions,This headache means I'm definitely coming down with something serious.
Jumping to Conclusions,"I know what they're going to say about my proposal, they'll reject it."
Jumping to Conclusions,"Everyone else seems to understand this topic, I'm the only one who's completely lost."
Jumping to Conclusions,"I missed one deadline, and now my career is over."
Jumping to Conclusions,They're talking in a hushed tone; they must be talking about me.
Jumping to Conclusions,"I won't be able to finish this task on time, it's impossible."
Jumping to Conclusions,My family won't approve of my choices; they never do.
Jumping to Conclusions,"The doctor looked concerned, so it has to be bad news."
Jumping to Conclusions,I shouldn't try to make new friends; no one will genuinely like me.
Jumping to Conclusions,"I know exactly what he's thinking right now, and it's negative."
Jumping to Conclusions,"This presentation slide looks terrible, my whole team will think I'm lazy."
Jumping to Conclusions,I'm definitely going to get sick if I go out in this weather.
Jumping to Conclusions,"She ignored my comment in the group chat, so she probably thinks I'm annoying."
Jumping to Conclusions,"I'll never be good enough at anything, this is just how it is."
Jumping to Conclusions,The teacher gave me a weird look; she knows I didn't understand the last lesson.
Jumping to Conclusions,"I'm going to lose this client, I just know it."
Jumping to Conclusions,My stomach hurts a bit; it must be a sign of something really bad.
Jumping to Conclusions,He's taking so long to reply; he's definitely found someone else.
Jumping to Conclusions,"I'm going to mess up this recipe, it's too complicated for me."
Jumping to Conclusions,"They didn't pick my idea, so they must think it was stupid."
Jumping to Conclusions,I'm going to get rejected from every college I apply to.
Jumping to Conclusions,My friend barely smiled; she's definitely mad about something.
Jumping to Conclusions,This small ache in my back means I'm going to be incapacitated soon.
Jumping to Conclusions,"I know what she's going to say before she even opens her mouth, and it won't be good."
Jumping to Conclusions,"I'll never be able to save enough money, I'm just bad with finances."
Jumping to Conclusions,The customer service rep sounded annoyed; they must think I'm being unreasonable.
Jumping to Conclusions,"I made a typo in that email, now everyone will think I'm unprofessional."
Jumping to Conclusions,I'm going to fail this driving test even before I've even started the car.
Magnification and Minimization,"I messed up one tiny detail on the report, so the whole thing is completely ruined and worthless."
Magnification and Minimization,"My boss praised my presentation, but he's just being polite; it wasn't actually that good."
Magnification and Minimization,"I got a small cut, and now I'm convinced it's going to get infected and cause major problems."
Magnification and Minimization,"I ran a personal best time, but it was just a lucky day; I'm still not a fast runner."
Magnification and Minimization,"My friend looked bored for a second, so I must be incredibly uninteresting to talk to."
Magnification and Minimization,"I finally started a new hobby, but it's not a real achievement since I'm still a beginner."
Magnification and Minimization,"I got one critical comment on my performance review, so my entire year's work is a failure."
Magnification and Minimization,"I helped a colleague out, but it was nothing special, just a small favor anyone would do."
Magnification and Minimization,This tiny mistake in my code means the whole application is going to crash.
Magnification and Minimization,"My partner told me they appreciate me, but they're just saying that because they have to."
Magnification and Minimization,"I gained a pound this week, and now all my efforts to be healthy are clearly pointless."
Magnification and Minimization,"I cleaned the kitchen, but the rest of the house is still a mess, so it doesn't really count."
Magnification and Minimization,"I stumbled over a word during my presentation, and everyone definitely thinks I'm incompetent now."
Magnification and Minimization,Finishing that huge project on time wasn't a big deal; it's literally my job to do that.
Magnification and Minimization,"My car made a weird noise, and I just know it's going to break down completely on my next commute."
Magnification and Minimization,"I finally managed to stick to my budget this month, but it's such a small step, not really an accomplishment."
Magnification and Minimization,"I said one slightly awkward thing at the party, and now everyone probably thinks I'm weird."
Magnification and Minimization,"I got a good grade on the exam, but it was an easy test, anyone could have passed it."
Magnification and Minimization,"I forgot to reply to an email immediately, and now the whole project timeline is probably ruined."
Magnification and Minimization,"I volunteered a few hours, but it felt like so little, it probably didn't even make a difference."
Magnification and Minimization,"I have one small area of self-doubt, and it completely overshadows any confidence I might have."
Magnification and Minimization,"I consistently meditated all week, but it's just five minutes a day, hardly a significant change."
Magnification and Minimization,"My partner was quiet tonight, and now I'm certain they're secretly upset with me about something major."
Magnification and Minimization,"I managed to fix that leaky faucet myself, but it was just a simple repair, nothing impressive."
Magnification and Minimization,"I spilled a tiny bit of coffee, and my whole morning is now completely ruined and off to a terrible start."
Magnification and Minimization,"I finally started exercising regularly, but it's just basic workouts; I'm not doing anything serious."
Magnification and Minimization,"I saw a disapproving look from my boss for a second, and now I'm convinced I'm about to be fired."
Magnification and Minimization,"My friends complimented my new outfit, but they were probably just trying to be nice."
Magnification and Minimization,"I had a small disagreement with my sister, and I just know it's going to ruin our relationship forever."
Magnification and Minimization,"I finally got around to organizing my closet, but it's just one small space, the rest of my room is still chaos."
Magnification and Minimization,"I sent an email with a typo, and now all my professional credibility is completely gone."
Magnification and Minimization,"I made a new recipe that turned out great, but it was mostly the instructions, not my skill."
Magnification and Minimization,"I felt anxious during that social gathering, proving that I'm completely socially inept."
Magnification and Minimization,"I've been eating healthier meals, but it's just food; it doesn't really mean I'm making progress."
Magnification and Minimization,"My internet lagged during the video call, and now my colleagues probably think I'm unprofessional."
Magnification and Minimization,"I completed a challenging task, but I had some help, so it doesn't really count as my achievement."
Magnification and Minimization,"I got a parking ticket, and it feels like the universe is just out to get me today, everything is going wrong."
Magnification and Minimization,"I took a nice walk in nature, but it wasn't a real workout, so it's not truly beneficial."
Magnification and Minimization,"My headache lasted for an hour, and I'm convinced it's a symptom of some terrible illness."
Magnification and Minimization,"I helped an elderly neighbor carry their groceries, but it was just a small act of kindness, nothing extraordinary."
Magnification and Minimization,"I made a silly typo in my journal entry tonight, which just shows how sloppy I am."
Magnification and Minimization,"I finally called that person I'd been putting off, but it was just a phone call, not a big deal."
Magnification and Minimization,"My cat looked at me funny, and now I'm sure she secretly hates me for not giving her extra treats."
Magnification and Minimization,"I managed to wake up early all week, but it's just basic discipline, not something to boast about."
Magnification and Minimization,"I got a minor scrape while hiking, and now I'm certain I'm going to get tetanus or some weird infection."
Magnification and Minimization,"I finished a book I'd been meaning to read, but it was a fairly quick read, not a huge accomplishment."
Magnification and Minimization,"I had a slight cough this morning, and now I'm convinced I'm developing a full-blown respiratory illness."
Magnification and Minimization,"I helped a stranger who dropped their keys, but it was just a reflex, not really me being exceptionally helpful."
Magnification and Minimization,"I burnt dinner tonight, and it just proves I'm completely useless in the kitchen and can't do anything right."
Magnification and Minimization,"I stuck to my evening routine for a few nights, but it's just a routine; it's not like I've transformed my life."
Emotional Reasoning,"I feel so overwhelmed by my to-do list, it's impossible to get everything done."
Emotional Reasoning,"I'm feeling really anxious about this presentation, so I know I'm going to mess it up."
Emotional Reasoning,"I feel so stupid after that meeting, I must not be smart enough for this role."
Emotional Reasoning,"I'm feeling rejected by them, so they clearly don't want me around."
Emotional Reasoning,"I feel so tired today, I must be getting sick."
Emotional Reasoning,"I feel utterly worthless, I'm clearly a complete failure."
Emotional Reasoning,"I'm really dreading this workout, I know I won't have the energy for it."
Emotional Reasoning,"I feel like everyone's judging me, so I must look ridiculous."
Emotional Reasoning,"I feel so hopeless about my finances, I'll never get out of this hole."
Emotional Reasoning,"I feel incredibly sad right now, so nothing good can possibly happen today."
Emotional Reasoning,"I feel so confused by this concept, I'll never understand it."
Emotional Reasoning,"I'm feeling very alone, so no one truly cares about me."
Emotional Reasoning,"I feel so incompetent at this task, I'm obviously not good at my job."
Emotional Reasoning,"I feel panicky about my future, everything is going to go wrong."
Emotional Reasoning,"I feel unattractive today, so I must look terrible."
Emotional Reasoning,"I'm feeling really down about this setback, my career is definitely going nowhere."
Emotional Reasoning,"I feel so awkward in social situations, I must make everyone uncomfortable."
Emotional Reasoning,"I feel angry about this, so it must be completely unfair."
Emotional Reasoning,"I feel so unmotivated, there's no point even starting this project."
Emotional Reasoning,"I feel like I'm falling behind, so I probably am a slacker."
Emotional Reasoning,"I feel absolutely exhausted, I just can't handle anything else today."
Emotional Reasoning,"I'm feeling so guilty, I must be a bad person for what I did."
Emotional Reasoning,"I feel like I'm always making mistakes, I'm just clumsy and unreliable."
Emotional Reasoning,"I feel a knot in my stomach about that decision, I know it's the wrong one."
Emotional Reasoning,"I feel so inadequate compared to everyone else, I'll never measure up."
Emotional Reasoning,"I feel so disappointed in myself, I'll never achieve my goals."
Emotional Reasoning,"I'm feeling really stressed about my exams, I'm definitely going to fail."
Emotional Reasoning,"I feel like my friend is ignoring me, they must be mad at me."
Emotional Reasoning,"I feel so weak, I'm clearly not strong enough to get through this."
Emotional Reasoning,"I feel restless and unsettled, something bad is about to happen."
Emotional Reasoning,"I feel so bored by this assignment, it's definitely not worth my time."
Emotional Reasoning,"I'm feeling very defensive, so I must be in the right here."
Emotional Reasoning,"I feel like I'm constantly failing, so I might as well give up."
Emotional Reasoning,"I feel so embarrassed about what I said, I must have sounded foolish."
Emotional Reasoning,"I feel like I'm always messing things up, I'm such a burden."
Emotional Reasoning,"I'm feeling overwhelmed by the news, the world is clearly falling apart."
Emotional Reasoning,"I feel so anxious about meeting new people, I know they won't like me."
Emotional Reasoning,"I feel like I don't belong here, I'm an outsider."
Emotional Reasoning,"I feel so frustrated with my progress, I'll never get better."
Emotional Reasoning,"I'm feeling very suspicious, so they must be hiding something from me."
Emotional Reasoning,"I feel like I'm wasting my time, this isn't going to work out."
Emotional Reasoning,"I feel so confused about my feelings, something must be deeply wrong with me."
Emotional Reasoning,"I'm feeling immensely jealous, so they definitely have it better than me."
Emotional Reasoning,"I feel so uninspired, I'll never come up with a good idea."
Emotional Reasoning,"I feel a deep sense of dread, today is going to be a disaster."
Emotional Reasoning,"I feel like I'm losing control, my life is spiraling."
Emotional Reasoning,"I feel so angry about this situation, it's absolutely intolerable."
Emotional Reasoning,"I'm feeling utterly drained, I must be completely burnt out."
Emotional Reasoning,"I feel like I'm always disappointing people, I can never do anything right."
Emotional Reasoning,"I feel so anxious about my health, something serious must be wrong."
Should Statements,I should have gotten so much more done today.
Should Statements,I shouldn't feel this tired after a full night's sleep.
Should Statements,"I must always be strong for my family, no matter what."
Should Statements,I ought to be further along in my career by now.
Should Statements,"I shouldn't have said that during the meeting, it was stupid."
Should Statements,I should be able to handle all these tasks without feeling overwhelmed.
Should Statements,I must exercise every single day to be healthy.
Should Statements,I shouldn't waste time on hobbies when I have so many responsibilities.
Should Statements,I ought to be a better listener when my friends are talking.
Should Statements,I should know how to fix this technical issue myself.
Should Statements,I must always put others' needs before my own.
Should Statements,"I shouldn't have eaten that dessert, I'm trying to be healthier."
Should Statements,I should be able to get perfect grades if I just studied harder.
Should Statements,I shouldn't let small things bother me so much.
Should Statements,I ought to be more confident when speaking in public.
Should Statements,I should be helping out more around the house.
